scinam,inc_per,source
Arenaria interpres,22.5,Birds of the World
Calidris alba,25,Birds of the World
Calidris alpina,20.5,Birds of the World
Calidris bairdii,20.5,Birds of the World
Calidris canutus,22,Birds of the World
Calidris mauri,21,Birds of the World
Calidris pusilla,20,Birds of the World
Haematopus bachmani,27,Birds of the World
Haematopus ostralegus,29.5,Birds of the World
Charadrius alexandrinus,26,Birds of the World
Charadrius dubius,25,Birds of the World
Charadrius falklandicus,29.6,https://link.springer.com/article/10.1007/s10336-010-0517-9 
Charadrius hiaticula,24,Birds of the World
Charadrius nivosus,27.4,Birds of the World
Charadrius semipalmatus,24.2,Birds of the World
Limnodromus griseus,21,Birds of the World
Limnodromus scolopaceus,21.5,Birds of the World
Limosa haemastica,22.5,Birds of the World
Limosa lapponica,20.5,Birds of the World
Limosa limosa,23,Birds of the World
Numenius madagascariensis,25.6,same as  Numenius phaeopus
Numenius phaeopus,26,Birds of the World
Pluvialis apricaria,29,Birds of the World
Pluvialis dominica,25,Birds of the World
Pluvialis fulva,25,Birds of the World
Pluvialis squatarola,25,Birds of the World
Tringa flavipes,22.5,Birds of the World
Tringa semipalmata,25.2,Birds of the World
Tringa totanus,25.5,Birds of the World
Vanellus vanellus,27,https://wildfowl.wwt.org.uk/index.php/wildfowl/article/view/701